date,farm_id,weight
2019-1-1,Farm 0,6760
2019-1-1,Farm 1,8644
2019-1-1,Farm 2,3547
2019-1-2,Farm 0,6824
2019-1-2,Farm 1,8723
2019-1-2,Farm 2,3466
2019-1-3,Farm 0,6846
2019-1-3,Farm 1,8770
2019-1-3,Farm 2,3366
2019-1-4,Farm 0,6694
2019-1-4,Farm 1,8813
2019-1-4,Farm 2,3586
2019-1-5,Farm 0,6830
2019-1-5,Farm 1,8752
2019-1-5,Farm 2,3583
2019-1-6,Farm 0,6687
2019-1-6,Farm 1,8786
2019-1-6,Farm 2,3460
2019-1-7,Farm 0,6808
2019-1-7,Farm 1,8653
2019-1-7,Farm 2,3579
2019-1-8,Farm 0,6842
2019-1-8,Farm 1,8714
2019-1-8,Farm 2,3561
2019-1-9,Farm 0,6613
2019-1-9,Farm 1,8789
2019-1-9,Farm 2,3635
