date,farm_id,weight
2019-3-1,Farm 0,6662
2019-3-1,Farm 1,8872
2019-3-1,Farm 2,3499
2019-3-2,Farm 0,6917
2019-3-2,Farm 1,8863
2019-3-2,Farm 2,3489
2019-3-3,Farm 0,6845
2019-3-3,Farm 1,8651
2019-3-3,Farm 2,3482
2019-3-4,Farm 0,6793
2019-3-4,Farm 1,8712
2019-3-4,Farm 2,3560
2019-3-5,Farm 0,6586
2019-3-5,Farm 1,8715
2019-3-5,Farm 2,3556
2019-3-6,Farm 0,6710
2019-3-6,Farm 1,8772
2019-3-6,Farm 2,3550
2019-3-7,Farm 0,6780
2019-3-7,Farm 1,8602
2019-3-7,Farm 2,3522
2019-3-8,Farm 0,6894
2019-3-8,Farm 1,8837
2019-3-8,Farm 2,3435
2019-3-9,Farm 0,6718
2019-3-9,Farm 1,8853
2019-3-9,Farm 2,3535
2019-3-10,Farm 0,6807
2019-3-10,Farm 1,8779
2019-3-10,Farm 2,3439
2019-3-11,Farm 0,6833
2019-3-11,Farm 1,8673
2019-3-11,Farm 2,3545
2019-3-12,Farm 0,6745
2019-3-12,Farm 1,8708
2019-3-12,Farm 2,3539
2019-3-13,Farm 0,6760
2019-3-13,Farm 1,8684
2019-3-13,Farm 2,3515
2019-3-14,Farm 0,6710
2019-3-14,Farm 1,8912
2019-3-14,Farm 2,3483
2019-3-15,Farm 0,6833
2019-3-15,Farm 1,8740
2019-3-15,Farm 2,3497
2019-3-16,Farm 0,6791
2019-3-16,Farm 1,8739
2019-3-16,Farm 2,3516
2019-3-17,Farm 0,6748
2019-3-17,Farm 1,8709
2019-3-17,Farm 2,3620
2019-3-18,Farm 0,6940
2019-3-18,Farm 1,8849
2019-3-18,Farm 2,3499
2019-3-19,Farm 0,6731
2019-3-19,Farm 1,8761
2019-3-19,Farm 2,3517
2019-3-20,Farm 0,6724
2019-3-20,Farm 1,8839
2019-3-20,Farm 2,3526
2019-3-21,Farm 0,6821
2019-3-21,Farm 1,8632
2019-3-21,Farm 2,3551
2019-3-22,Farm 0,6598
2019-3-22,Farm 1,8835
2019-3-22,Farm 2,3490
2019-3-23,Farm 0,6805
2019-3-23,Farm 1,8831
2019-3-23,Farm 2,3592
2019-3-24,Farm 0,6756
2019-3-24,Farm 1,8744
2019-3-24,Farm 2,3516
2019-3-25,Farm 0,6664
2019-3-25,Farm 1,8734
2019-3-25,Farm 2,3505
2019-3-26,Farm 0,6756
2019-3-26,Farm 1,8596
2019-3-26,Farm 2,3489
2019-3-27,Farm 0,6715
2019-3-27,Farm 1,8729
2019-3-27,Farm 2,3548
2019-3-28,Farm 0,6720
2019-3-28,Farm 1,8738
2019-3-28,Farm 2,3634
2019-3-29,Farm 0,6646
2019-3-29,Farm 1,8761
2019-3-29,Farm 2,3615
2019-3-30,Farm 0,6685
2019-3-30,Farm 1,8795
2019-3-30,Farm 2,3551
2019-3-31,Farm 0,6805
2019-3-31,Farm 1,8801
2019-3-31,Farm 2,3485
2019-8-1,Farm 0,6779
2019-8-1,Farm 1,8723
2019-8-1,Farm 2,3572
2019-8-2,Farm 0,6809
2019-8-2,Farm 1,8590
2019-8-2,Farm 2,3477
2019-8-3,Farm 0,6788
2019-8-3,Farm 1,8841
2019-8-3,Farm 2,3630
2019-8-4,Farm 0,6539
2019-8-4,Farm 1,8839
2019-8-4,Farm 2,3305
2019-8-5,Farm 0,6775
2019-8-5,Farm 1,8694
2019-8-5,Farm 2,3520
2019-8-6,Farm 0,6735
2019-8-6,Farm 1,8756
2019-8-6,Farm 2,3405
2019-8-7,Farm 0,6690
2019-8-7,Farm 1,8660
2019-8-7,Farm 2,3450
2019-8-8,Farm 0,6703
2019-8-8,Farm 1,8752
2019-8-8,Farm 2,3618
2019-8-9,Farm 0,6726
2019-8-9,Farm 1,8739
2019-8-9,Farm 2,3560
2019-8-10,Farm 0,6685
2019-8-10,Farm 1,8919
2019-8-10,Farm 2,3552
2019-8-11,Farm 0,6869
2019-8-11,Farm 1,8697
2019-8-11,Farm 2,3473
2019-8-12,Farm 0,6798
2019-8-12,Farm 1,8920
2019-8-12,Farm 2,3471
2019-8-13,Farm 0,6737
2019-8-13,Farm 1,8709
2019-8-13,Farm 2,3569
2019-8-14,Farm 0,6654
2019-8-14,Farm 1,8755
2019-8-14,Farm 2,3531
2019-8-15,Farm 0,6704
2019-8-15,Farm 1,8698
2019-8-15,Farm 2,3502
2019-8-16,Farm 0,6913
2019-8-16,Farm 1,8758
2019-8-16,Farm 2,3424
2019-8-17,Farm 0,6705
2019-8-17,Farm 1,8725
2019-8-17,Farm 2,3508
2019-8-18,Farm 0,6752
2019-8-18,Farm 1,8824
2019-8-18,Farm 2,3456
2019-8-19,Farm 0,6678
2019-8-19,Farm 1,8835
2019-8-19,Farm 2,3495
2019-8-20,Farm 0,6682
2019-8-20,Farm 1,8732
2019-8-20,Farm 2,3487
